                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77774,                 2.4575,                0.94558,                0.94388,                0.12749,                0.49574,                0.37266,                0.76935,                 3.5381,                0.88002,              0.0004072,              0.0004072,              0.0004072
                      2,                0.80703,                 1.4247,                0.95089,                0.70522,                0.54106,                0.73581,                0.56383,                 0.7435,                 2.6984,                0.90967,             0.00080347,             0.00080347,             0.00080347
                      3,                0.79141,                 1.3027,                0.95009,                0.65388,                0.69465,                 0.6892,                0.56012,                0.74061,                 2.1395,                0.92718,              0.0011791,              0.0011791,              0.0011791
                      4,                0.76852,                 1.1849,                 0.9591,                0.64703,                0.73226,                 0.6291,                0.49779,                0.71404,                  3.438,                0.94097,              0.0011572,              0.0011572,              0.0011572
                      5,                0.77379,                 1.0672,                 0.9551,                0.92729,                0.79948,                0.88497,                0.69606,                0.72496,                 1.1037,                0.91925,              0.0011572,              0.0011572,              0.0011572
                      6,                0.73715,                0.97472,                0.93928,                0.95356,                0.77078,                0.87488,                0.67828,                0.69405,                 1.0388,                0.91247,              0.0011263,              0.0011263,              0.0011263
                      7,                0.73965,                0.88856,                0.94007,                0.89485,                0.85419,                0.91221,                0.70801,                0.70257,                0.88775,                0.91269,              0.0010953,              0.0010953,              0.0010953
                      8,                0.71151,                 0.8078,                0.93652,                0.88612,                0.85511,                0.88794,                0.72805,                0.67661,                0.82621,                0.91256,              0.0010644,              0.0010644,              0.0010644
                      9,                 0.7094,                0.77669,                0.93762,                 0.8745,                0.90792,                0.92135,                0.74487,                0.64574,                0.71905,                0.89471,              0.0010334,              0.0010334,              0.0010334
                     10,                0.69297,                0.71366,                0.91196,                0.94971,                0.87769,                0.90982,                0.69075,                0.69239,                0.74806,                0.92704,              0.0010025,              0.0010025,              0.0010025
                     11,                0.70011,                0.69689,                0.93363,                  0.947,                0.82283,                0.91635,                0.73801,                0.66456,                0.66475,                0.89676,             0.00097156,             0.00097156,             0.00097156
                     12,                0.65702,                0.62425,                 0.9132,                0.87433,                0.83848,                0.86292,                0.72886,                0.64989,                0.67821,                0.89559,             0.00094062,             0.00094062,             0.00094062
                     13,                0.66415,                0.62151,                 0.9139,                0.96898,                0.87798,                0.93182,                0.77325,                 0.6131,                0.59203,                0.88618,             0.00090969,             0.00090969,             0.00090969
                     14,                0.65473,                0.61789,                0.91083,                 0.9529,                0.83904,                0.88816,                0.73685,                0.61035,                0.56892,                0.88276,             0.00087875,             0.00087875,             0.00087875
                     15,                0.63948,                0.57251,                0.90223,                0.91341,                 0.9109,                0.93728,                0.76114,                 0.6548,                0.55081,                0.89709,             0.00084781,             0.00084781,             0.00084781
                     16,                0.65137,                0.58622,                 0.9248,                0.95194,                0.82995,                0.92229,                 0.7479,                0.63961,                0.53488,                0.89502,             0.00081688,             0.00081688,             0.00081688
                     17,                0.63631,                0.53897,                0.90646,                0.91187,                0.92108,                0.94527,                0.76821,                0.60688,                0.49776,                 0.8856,             0.00078594,             0.00078594,             0.00078594
                     18,                0.61665,                0.51986,                 0.8971,                0.96487,                0.88806,                0.94083,                0.76032,                0.65705,                0.53744,                0.91166,               0.000755,               0.000755,               0.000755
                     19,                0.63376,                0.53575,                  0.895,                0.91635,                0.85489,                0.91276,                0.75553,                0.59339,                0.49008,                0.87836,             0.00072406,             0.00072406,             0.00072406
                     20,                0.61973,                0.50893,                 0.8997,                0.95868,                0.90176,                0.93863,                0.73619,                0.63571,                 0.4919,                0.88866,             0.00069313,             0.00069313,             0.00069313
                     21,                0.62045,                0.50222,                0.89845,                0.95009,                0.87125,                0.93037,                 0.7747,                0.59609,                0.46787,                0.88081,             0.00066219,             0.00066219,             0.00066219
                     22,                 0.5811,                0.46905,                0.89286,                0.96971,                0.91472,                0.95077,                0.78704,                0.59015,                0.43873,                0.87011,             0.00063125,             0.00063125,             0.00063125
                     23,                0.60208,                0.46951,                0.89317,                0.91226,                0.91373,                0.93835,                0.77207,                0.60871,                0.45026,                0.87515,             0.00060031,             0.00060031,             0.00060031
                     24,                0.59223,                0.45788,                0.88306,                0.96322,                  0.936,                0.95086,                0.77747,                0.56947,                0.41738,                0.86842,             0.00056938,             0.00056938,             0.00056938
                     25,                0.56737,                0.44923,                0.88998,                   0.91,                0.96232,                0.94589,                0.78127,                 0.5735,                  0.421,                0.86464,             0.00053844,             0.00053844,             0.00053844
                     26,                0.56738,                 0.4267,                0.88552,                0.94312,                0.90517,                0.92766,                0.77494,                 0.5798,                 0.4292,                0.87164,              0.0005075,              0.0005075,              0.0005075
                     27,                0.56056,                0.42961,                 0.8882,                0.91991,                0.92922,                0.93932,                0.77475,                0.55703,                0.39448,                0.86653,             0.00047656,             0.00047656,             0.00047656
                     28,                0.54592,                 0.4163,                0.88315,                0.95727,                0.92443,                 0.9605,                0.78155,                0.57242,                0.40286,                0.87131,             0.00044563,             0.00044563,             0.00044563
                     29,                0.56012,                 0.4199,                0.87051,                0.89904,                0.92416,                0.93574,                0.77524,                0.59092,                0.39553,                0.87647,             0.00041469,             0.00041469,             0.00041469
                     30,                0.54563,                0.40677,                0.88616,                0.96467,                0.91122,                0.95521,                0.79227,                0.56833,                0.38631,                0.86661,             0.00038375,             0.00038375,             0.00038375
                     31,                 0.5167,                0.38673,                0.85156,                0.96706,                0.87153,                0.94179,                0.77992,                0.56566,                0.40105,                0.87028,             0.00035281,             0.00035281,             0.00035281
                     32,                0.51731,                0.37247,                 0.8441,                0.97616,                0.92206,                0.95967,                0.78643,                0.59831,                0.40223,                0.87648,             0.00032188,             0.00032188,             0.00032188
                     33,                0.51086,                0.36304,                0.84368,                0.97472,                0.92001,                0.95328,                0.77406,                0.57372,                0.38855,                0.86805,             0.00029094,             0.00029094,             0.00029094
                     34,                0.50942,                0.36481,                0.83746,                0.90589,                  0.952,                0.93425,                0.78122,                0.57575,                0.39154,                 0.8715,                0.00026,                0.00026,                0.00026
                     35,                0.50296,                0.35401,                0.84052,                0.92264,                0.94537,                0.95351,                0.79794,                 0.5664,                 0.3677,                0.86331,             0.00022906,             0.00022906,             0.00022906
                     36,                0.49688,                0.34429,                0.82797,                0.91299,                0.95266,                0.95828,                0.80808,                0.54506,                0.35263,                0.86037,             0.00019813,             0.00019813,             0.00019813
                     37,                0.48495,                0.33109,                0.83301,                0.96284,                0.92143,                0.96246,                0.81414,                 0.5623,                0.34663,                0.86563,             0.00016719,             0.00016719,             0.00016719
                     38,                0.47698,                0.31855,                0.82676,                0.97347,                0.90566,                0.96948,                 0.8005,                0.54309,                0.34443,                0.86154,             0.00013625,             0.00013625,             0.00013625
                     39,                0.47523,                0.31861,                0.82872,                0.94712,                0.95816,                0.97006,                 0.8028,                0.54218,                 0.3379,                0.85918,             0.00010531,             0.00010531,             0.00010531
                     40,                0.47211,                0.31141,                0.82388,                0.92512,                0.95928,                0.96246,                0.80236,                0.53507,                 0.3378,                 0.8586,             7.4375e-05,             7.4375e-05,             7.4375e-05
